2D FM Ising; L=128; T=1.00; s_hi=1.00; s_Hi=1.00; MC steps= 1.00e+04; repeat=200; Final_E=-32258.51; Final_M=-646;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96897607,256.00000000
1,0.00002930,-1.96173239,413.25000000
2,0.00009277,-1.95940122,481.80000000
3,0.00011230,-1.95869878,519.54000000
4,0.00005371,-1.95844765,542.97000000
5,0.00010071,-1.95828548,561.16000000
6,-0.00011414,-1.95831175,576.25000000
7,-0.00007874,-1.95857846,587.10000000
8,-0.00005005,-1.95878559,595.97000000
9,-0.00003845,-1.95910056,602.47000000
10,-0.00014099,-1.95944287,606.66000000
11,-0.00003174,-1.95969780,610.86000000
12,0.00001038,-1.95960060,621.85000000
13,0.00015320,-1.95978030,626.04000000
14,0.00015076,-1.96005202,628.85000000
15,0.00018677,-1.96043539,629.81000000
16,0.00043884,-1.96047421,633.26000000
17,0.00032227,-1.96078586,634.82000000
18,0.00042419,-1.96080484,640.75000000
19,0.00046204,-1.96084554,644.38000000
20,0.00048462,-1.96086379,649.72000000
21,0.00048157,-1.96109141,650.03000000
22,0.00043457,-1.96110238,655.99000000
23,0.00044128,-1.96118717,659.64000000
24,0.00052307,-1.96154815,657.15000000
25,0.00051392,-1.96155308,661.66000000
26,0.00045898,-1.96142142,666.21000000
27,0.00054626,-1.96166292,667.41000000
28,0.00065674,-1.96189393,667.41000000
29,0.00059753,-1.96167068,674.61000000
30,0.00058411,-1.96173806,678.31000000
31,0.00064209,-1.96197016,677.41000000
32,0.00060791,-1.96173877,681.44000000
33,0.00064880,-1.96192372,681.38000000
34,0.00049194,-1.96185920,686.85000000
35,0.00071899,-1.96182478,691.31000000
36,0.00054443,-1.96217126,689.15000000
37,0.00057007,-1.96208352,690.73000000
38,0.00063782,-1.96233203,689.83000000
39,0.00048767,-1.96238414,693.37000000
40,0.00043091,-1.96227954,696.82000000
41,0.00037781,-1.96254439,696.50000000
42,0.00038269,-1.96256953,697.89000000
43,0.00035583,-1.96258596,698.87000000
44,0.00034363,-1.96237921,703.18000000
45,0.00022400,-1.96233522,705.70000000
46,0.00049133,-1.96250766,707.31000000
47,0.00034363,-1.96263416,708.36000000
48,0.00045593,-1.96285570,707.52000000
49,0.00029236,-1.96283871,710.29000000
50,0.00014771,-1.96289131,709.77000000
51,0.00030029,-1.96272591,713.09000000
52,0.00040955,-1.96301132,711.61000000
53,0.00029053,-1.96289557,713.57000000
54,0.00038696,-1.96292638,715.38000000
55,0.00031067,-1.96294071,717.45000000
56,0.00014221,-1.96304743,717.12000000
57,0.00010559,-1.96317863,718.74000000
58,-0.00013855,-1.96318616,718.83000000
59,-0.00007385,-1.96335134,720.25000000
60,-0.00007446,-1.96344287,719.13000000
61,-0.00025208,-1.96323155,724.54000000
62,0.00006958,-1.96340867,724.19000000
63,0.00000793,-1.96344457,725.51000000
64,-0.00005859,-1.96337766,729.27000000
65,-0.00020874,-1.96318742,733.77000000
66,-0.00007813,-1.96342777,731.55000000
67,-0.00024353,-1.96326268,735.84000000
68,-0.00012390,-1.96354507,731.93000000
69,-0.00018921,-1.96361202,734.16000000
70,-0.00020813,-1.96352917,736.36000000
71,-0.00025269,-1.96358716,737.93000000
72,-0.00027710,-1.96381233,736.27000000
73,-0.00019531,-1.96379754,738.86000000
74,0.00000549,-1.96359201,742.89000000
75,-0.00011230,-1.96359314,743.62000000
76,-0.00010132,-1.96365408,745.41000000
77,-0.00007019,-1.96361384,749.04000000
78,0.00003357,-1.96371644,746.42000000
79,0.00002991,-1.96364254,749.51000000
80,0.00002808,-1.96381186,748.56000000
81,0.00014038,-1.96384915,747.81000000
82,0.00021118,-1.96381465,748.38000000
83,0.00015198,-1.96387867,750.28000000
84,0.00017517,-1.96397575,749.00000000
85,0.00034729,-1.96397868,751.51000000
86,0.00042603,-1.96393226,753.16000000
87,0.00026489,-1.96423212,750.41000000
88,0.00043457,-1.96396199,754.80000000
89,0.00021423,-1.96396431,756.77000000
90,0.00011475,-1.96401999,757.57000000
91,0.00014160,-1.96396020,760.32000000
92,0.00014648,-1.96397398,760.61000000
93,-0.00009644,-1.96395034,763.25000000
94,0.00017273,-1.96403877,762.73000000
95,0.00036438,-1.96408053,763.49000000
96,0.00029358,-1.96415726,763.27000000
97,0.00016541,-1.96409061,765.13000000
98,0.00016663,-1.96407920,766.41000000
99,0.00029602,-1.96411505,766.03000000
100,0.00037720,-1.96422895,768.05000000
101,0.00018005,-1.96438807,765.74000000
102,0.00001526,-1.96398219,770.85000000
103,0.00005371,-1.96420720,768.99000000
104,0.00027893,-1.96428531,769.81000000
105,0.00047791,-1.96437749,768.63000000
106,0.00056885,-1.96452675,769.06000000
107,0.00037720,-1.96438993,771.17000000
108,0.00044312,-1.96457594,769.58000000
109,0.00058716,-1.96462257,771.11000000
110,0.00047852,-1.96441547,776.70000000
111,0.00054443,-1.96452737,773.77000000
112,0.00056946,-1.96441944,775.94000000
113,0.00039917,-1.96472342,774.50000000
114,0.00051819,-1.96493497,771.77000000
115,0.00061951,-1.96482110,774.62000000
116,0.00049622,-1.96485273,773.70000000
117,0.00059631,-1.96471091,775.93000000
118,0.00075378,-1.96482875,775.46000000
119,0.00086304,-1.96489653,774.37000000
120,0.00083252,-1.96477684,776.09000000
121,0.00099365,-1.96495477,776.65000000
122,0.00106934,-1.96484040,778.05000000
123,0.00101318,-1.96479088,780.58000000
124,0.00094116,-1.96491640,780.29000000
125,0.00074219,-1.96471247,783.38000000
126,0.00073059,-1.96495393,780.49000000
127,0.00076599,-1.96485051,784.98000000
128,0.00071045,-1.96491379,783.32000000
129,0.00078064,-1.96490477,785.27000000
130,0.00104065,-1.96490938,785.80000000
131,0.00094360,-1.96493821,786.14000000
132,0.00085693,-1.96518469,784.02000000
133,0.00086365,-1.96518778,785.89000000
134,0.00100342,-1.96510514,787.83000000
135,0.00104675,-1.96518799,787.44000000
136,0.00098083,-1.96527524,789.30000000
137,0.00101685,-1.96520259,790.01000000
138,0.00078064,-1.96492074,796.03000000
139,0.00078003,-1.96507787,793.74000000
140,0.00068909,-1.96482981,798.33000000
141,0.00100952,-1.96504854,796.70000000
142,0.00097900,-1.96516170,795.55000000
143,0.00086792,-1.96519112,794.98000000
144,0.00103088,-1.96513559,795.30000000
145,0.00094482,-1.96535262,791.94000000
