2D FM Ising; L=128; T=2.00; s_hi=1.00; s_Hi=1.41; MC steps= 1.00e+04; repeat=200; Final_E=-24280.41; Final_M=2468;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96866419,256.00000000
1,-0.00006531,-1.79994765,2158.75000000
2,0.00014465,-1.70725845,3222.84000000
3,-0.00012817,-1.64684527,3936.67000000
4,0.00014832,-1.60542793,4440.51000000
5,0.00010254,-1.57579289,4819.74000000
6,-0.00000488,-1.55341943,5126.24000000
7,0.00010925,-1.53503272,5381.99000000
8,0.00092773,-1.52082902,5585.26000000
9,0.00085083,-1.50915663,5757.00000000
10,0.00103516,-1.50061826,5887.83000000
11,0.00129822,-1.49159358,6026.89000000
12,0.00139038,-1.48587689,6130.33000000
13,0.00116333,-1.48007012,6226.17000000
14,0.00109924,-1.47547467,6317.06000000
15,0.00078613,-1.47165121,6384.76000000
16,0.00084839,-1.46729566,6455.43000000
17,0.00069458,-1.46518125,6505.08000000
18,0.00103394,-1.46206745,6557.18000000
19,0.00146912,-1.45992148,6604.07000000
20,0.00132202,-1.45844636,6643.11000000
21,0.00103516,-1.45671985,6678.89000000
22,0.00103882,-1.45656403,6699.49000000
23,0.00114868,-1.45576820,6730.47000000
24,0.00070496,-1.45538725,6751.68000000
25,0.00055847,-1.45372329,6782.38000000
26,-0.00007263,-1.45377939,6795.39000000
27,-0.00070374,-1.45247400,6819.66000000
28,-0.00010803,-1.45298224,6830.69000000
29,-0.00031738,-1.45199811,6849.59000000
30,-0.00079163,-1.45300801,6855.53000000
31,-0.00024963,-1.45228354,6869.47000000
32,0.00020813,-1.45222400,6878.05000000
33,-0.00113342,-1.45211948,6888.24000000
34,-0.00106689,-1.45067260,6901.72000000
35,-0.00047302,-1.45247887,6900.80000000
36,-0.00050659,-1.45266203,6908.05000000
37,-0.00071350,-1.45396294,6902.20000000
38,-0.00031921,-1.45468592,6899.53000000
39,-0.00052002,-1.45567926,6896.02000000
40,-0.00101379,-1.45538377,6903.61000000
41,-0.00118469,-1.45487223,6910.13000000
42,-0.00079285,-1.45612137,6906.96000000
43,-0.00090088,-1.45611462,6907.56000000
44,-0.00133606,-1.45680537,6901.14000000
45,-0.00154114,-1.45595451,6913.17000000
46,-0.00187561,-1.45742604,6902.47000000
47,-0.00192322,-1.45754137,6904.49000000
48,-0.00177673,-1.45777930,6907.41000000
49,-0.00189026,-1.45821582,6903.73000000
50,-0.00205444,-1.45869506,6900.31000000
51,-0.00223206,-1.45956805,6895.59000000
52,-0.00264282,-1.46005866,6890.74000000
53,-0.00229553,-1.46027927,6891.73000000
54,-0.00140625,-1.46044485,6895.71000000
55,-0.00120972,-1.46132415,6893.51000000
56,-0.00212036,-1.46118017,6891.97000000
57,-0.00239136,-1.45986847,6903.52000000
58,-0.00249329,-1.46092185,6896.13000000
59,-0.00348755,-1.46254579,6887.83000000
60,-0.00370300,-1.46214760,6885.60000000
61,-0.00361877,-1.46344442,6878.21000000
62,-0.00338989,-1.46315714,6878.55000000
63,-0.00250854,-1.46369412,6875.89000000
64,-0.00290833,-1.46316187,6875.68000000
65,-0.00327087,-1.46284938,6884.96000000
66,-0.00317566,-1.46330312,6879.01000000
67,-0.00294434,-1.46378795,6875.91000000
68,-0.00243713,-1.46361786,6883.10000000
69,-0.00267212,-1.46485742,6876.16000000
70,-0.00264282,-1.46282049,6889.62000000
71,-0.00227966,-1.46425112,6878.64000000
72,-0.00276428,-1.46386960,6885.36000000
73,-0.00272095,-1.46244528,6894.06000000
74,-0.00185181,-1.46359828,6886.19000000
75,-0.00199158,-1.46453672,6880.31000000
76,-0.00183594,-1.46410253,6887.68000000
77,-0.00227844,-1.46369187,6888.12000000
78,-0.00250916,-1.46566402,6873.38000000
79,-0.00202454,-1.46688987,6862.54000000
80,-0.00308167,-1.46654445,6859.23000000
81,-0.00245850,-1.46542943,6869.16000000
82,-0.00270203,-1.46558237,6867.08000000
83,-0.00327820,-1.46406295,6882.30000000
84,-0.00332947,-1.46440273,6884.91000000
85,-0.00320007,-1.46524657,6872.66000000
86,-0.00271179,-1.46499772,6876.37000000
87,-0.00201294,-1.46548106,6872.21000000
88,-0.00157898,-1.46735672,6857.00000000
89,-0.00185791,-1.46660477,6863.32000000
90,-0.00216980,-1.46628866,6864.21000000
91,-0.00180176,-1.46615209,6868.98000000
92,-0.00210083,-1.46685065,6859.98000000
93,-0.00266968,-1.46652263,6860.22000000
94,-0.00318420,-1.46706834,6857.76000000
95,-0.00348328,-1.46748418,6855.32000000
96,-0.00324097,-1.46673874,6865.07000000
97,-0.00376892,-1.46817543,6850.21000000
98,-0.00366150,-1.46760507,6851.11000000
99,-0.00370117,-1.46706930,6853.38000000
100,-0.00353699,-1.46573302,6869.64000000
101,-0.00355530,-1.46521887,6870.85000000
102,-0.00278259,-1.46618692,6869.78000000
103,-0.00218262,-1.46681975,6864.55000000
104,-0.00202515,-1.46709949,6865.25000000
105,-0.00265564,-1.46702247,6863.57000000
106,-0.00347168,-1.46792240,6853.66000000
107,-0.00334778,-1.46879449,6845.28000000
108,-0.00355774,-1.46837542,6844.79000000
109,-0.00360657,-1.46940959,6836.89000000
110,-0.00216980,-1.46927601,6839.84000000
111,-0.00159546,-1.46957291,6836.56000000
112,-0.00297241,-1.46927998,6837.17000000
113,-0.00336731,-1.46963474,6829.66000000
114,-0.00370300,-1.46900404,6838.69000000
115,-0.00446960,-1.46904387,6839.38000000
116,-0.00444946,-1.46845227,6843.05000000
117,-0.00551392,-1.46930172,6835.19000000
118,-0.00565308,-1.46939393,6835.91000000
119,-0.00593994,-1.46932882,6836.02000000
120,-0.00438293,-1.46958420,6834.81000000
121,-0.00510864,-1.46750502,6850.05000000
122,-0.00595520,-1.46780888,6849.53000000
123,-0.00573303,-1.46878720,6841.42000000
124,-0.00602600,-1.46948919,6836.30000000
125,-0.00558167,-1.46937329,6839.96000000
126,-0.00513489,-1.46908232,6839.29000000
127,-0.00448486,-1.46951797,6836.25000000
128,-0.00490601,-1.47035325,6829.70000000
129,-0.00495239,-1.46938570,6842.68000000
130,-0.00498474,-1.46936003,6844.66000000
131,-0.00489807,-1.46956901,6840.66000000
132,-0.00515869,-1.46955252,6844.14000000
133,-0.00507019,-1.46843469,6850.90000000
134,-0.00519043,-1.46848424,6852.49000000
135,-0.00512207,-1.46855960,6846.82000000
136,-0.00452209,-1.46971739,6841.69000000
137,-0.00336731,-1.46820725,6849.26000000
138,-0.00309998,-1.46882011,6843.89000000
139,-0.00286255,-1.46993250,6834.63000000
140,-0.00282410,-1.46949347,6835.10000000
141,-0.00244080,-1.46886057,6840.87000000
142,-0.00183228,-1.46850193,6842.76000000
143,-0.00254639,-1.46877917,6843.21000000
144,-0.00192749,-1.46784441,6850.86000000
145,-0.00178101,-1.46755440,6851.08000000
146,-0.00250549,-1.46804705,6845.80000000
147,-0.00188599,-1.46829270,6843.05000000
148,-0.00148743,-1.46843085,6841.02000000
149,-0.00094910,-1.46948954,6833.92000000
150,-0.00095276,-1.46924636,6838.61000000
151,-0.00118286,-1.46948772,6839.64000000
152,-0.00181824,-1.47000401,6832.74000000
153,-0.00123535,-1.46892932,6840.22000000
154,-0.00093384,-1.46957756,6837.37000000
155,-0.00107300,-1.46944019,6833.00000000
156,-0.00019348,-1.46976599,6831.81000000
157,0.00022522,-1.46946943,6838.29000000
158,0.00138184,-1.46955575,6840.30000000
159,0.00038391,-1.46943668,6843.90000000
160,0.00044678,-1.46783664,6852.52000000
161,-0.00092590,-1.46791547,6851.83000000
162,-0.00044800,-1.46832452,6846.15000000
163,-0.00076782,-1.46775896,6850.89000000
164,-0.00126343,-1.46929084,6836.13000000
165,-0.00087219,-1.46923346,6838.25000000
166,-0.00086243,-1.46813904,6848.41000000
167,-0.00062622,-1.46891638,6842.83000000
168,0.00023254,-1.46838175,6842.26000000
169,0.00077881,-1.47038015,6826.18000000
170,0.00141724,-1.47052291,6826.17000000
171,0.00279663,-1.46902773,6841.20000000
172,0.00169922,-1.46848420,6843.92000000
173,0.00128906,-1.46764584,6851.50000000
174,0.00137695,-1.46770380,6852.75000000
175,0.00141724,-1.46819917,6846.64000000
176,0.00072021,-1.46803604,6854.86000000
177,0.00046143,-1.46798560,6853.87000000
178,0.00084229,-1.46669272,6865.38000000
179,-0.00005981,-1.46728754,6860.88000000
180,-0.00035889,-1.46766083,6855.73000000
181,-0.00009033,-1.46705329,6856.54000000
182,0.00031006,-1.46762816,6854.24000000
183,0.00079407,-1.46749441,6855.21000000
184,0.00077026,-1.46746868,6849.55000000
185,0.00050903,-1.46780123,6850.35000000
186,0.00069153,-1.46726140,6853.79000000
187,0.00105225,-1.46825285,6847.61000000
188,0.00090820,-1.46855424,6846.84000000
189,0.00051453,-1.46876035,6842.47000000
190,0.00083923,-1.46970774,6831.12000000
191,0.00087402,-1.46973745,6832.80000000
192,0.00058105,-1.46860310,6844.55000000
193,0.00067688,-1.46764874,6853.36000000
194,0.00038391,-1.46858382,6844.78000000
195,0.00078735,-1.46897446,6836.56000000
196,0.00100342,-1.46967319,6835.96000000
197,0.00123901,-1.46928261,6838.20000000
198,0.00088623,-1.47004640,6833.05000000
199,0.00095886,-1.46994970,6832.33000000
200,0.00050354,-1.47030636,6828.74000000
201,0.00061035,-1.46998113,6832.27000000
202,0.00169189,-1.47016652,6827.40000000
203,0.00169617,-1.47002249,6827.37000000
204,0.00057800,-1.47000314,6830.57000000
205,0.00099365,-1.47075149,6823.45000000
206,0.00033447,-1.47009799,6835.80000000
207,-0.00008972,-1.47018984,6831.56000000
208,0.00006470,-1.46953923,6839.64000000
209,0.00060181,-1.46927540,6841.05000000
210,0.00104126,-1.46893796,6845.16000000
211,0.00145081,-1.46832105,6851.25000000
212,0.00221069,-1.46824075,6853.26000000
