2D FM Ising; L=256; T=0.10; s_hi=1.00; s_Hi=0.32; MC steps= 1.00e+05; repeat=100; Final_E=-130443.23; Final_M=172;
mc_step,mag,energy,domain_len
0,0.00000000,-1.98453408,512.00000000
1,0.00000854,-1.98488176,549.20000000
2,0.00000885,-1.98523234,563.20000000
3,0.00000549,-1.98550037,568.20000000
4,-0.00001495,-1.98566702,570.34000000
5,-0.00000153,-1.98579509,571.10000000
6,0.00001160,-1.98588031,572.60000000
7,0.00001007,-1.98594841,573.22000000
8,0.00001007,-1.98600537,573.42000000
9,0.00001953,-1.98604647,574.50000000
10,0.00002808,-1.98607251,574.90000000
11,0.00002380,-1.98610022,575.42000000
12,0.00001953,-1.98612570,575.28000000
13,0.00001404,-1.98614436,576.48000000
14,0.00000610,-1.98616395,577.02000000
15,0.00000977,-1.98617804,577.04000000
16,0.00001740,-1.98619229,577.00000000
17,0.00001312,-1.98620718,578.06000000
18,0.00000580,-1.98621867,577.88000000
19,0.00000946,-1.98623117,577.60000000
20,0.00001068,-1.98623758,577.92000000
21,0.00000702,-1.98624635,578.40000000
22,0.00001038,-1.98625752,579.16000000
23,0.00001740,-1.98626684,579.38000000
24,0.00000671,-1.98627412,579.06000000
25,0.00000000,-1.98628360,579.38000000
26,0.00000732,-1.98629183,579.14000000
27,0.00001404,-1.98630041,579.74000000
28,-0.00000275,-1.98630887,579.80000000
29,-0.00000427,-1.98631925,579.96000000
30,-0.00000366,-1.98632794,580.34000000
31,0.00000549,-1.98633323,580.24000000
32,-0.00000732,-1.98634318,580.40000000
33,-0.00001068,-1.98634730,580.90000000
34,0.00000610,-1.98635323,581.20000000
35,0.00000580,-1.98635792,580.46000000
36,0.00000275,-1.98636097,580.98000000
37,0.00001038,-1.98636651,581.70000000
38,0.00002106,-1.98636925,581.66000000
39,0.00000671,-1.98637494,581.28000000
40,0.00000793,-1.98637750,581.18000000
41,0.00000763,-1.98638077,581.58000000
42,0.00000427,-1.98638542,581.76000000
43,0.00001343,-1.98638788,582.26000000
44,0.00000671,-1.98639057,583.12000000
45,0.00000061,-1.98639473,583.00000000
46,0.00000305,-1.98639950,582.58000000
47,0.00000702,-1.98640388,583.06000000
48,0.00000793,-1.98640610,583.42000000
49,-0.00000153,-1.98641106,583.44000000
50,-0.00000519,-1.98641287,583.08000000
51,-0.00000122,-1.98641490,583.48000000
52,-0.00000122,-1.98642308,583.20000000
53,-0.00000275,-1.98642922,582.54000000
54,-0.00000336,-1.98643224,583.16000000
55,0.00000488,-1.98643597,583.28000000
56,0.00000153,-1.98643924,583.44000000
57,0.00000946,-1.98644287,583.64000000
58,0.00001312,-1.98644483,583.80000000
59,0.00001007,-1.98644614,583.44000000
60,0.00000946,-1.98644803,583.48000000
61,0.00000519,-1.98645070,583.70000000
62,0.00001160,-1.98645207,583.68000000
63,0.00001221,-1.98645539,583.82000000
64,0.00000916,-1.98645927,583.62000000
65,0.00001556,-1.98646208,583.90000000
66,0.00002563,-1.98646615,584.00000000
67,0.00002899,-1.98646874,584.00000000
68,0.00002319,-1.98647069,584.56000000
69,0.00002960,-1.98647204,584.70000000
70,0.00002869,-1.98647719,584.88000000
71,0.00003632,-1.98647948,584.30000000
72,0.00003174,-1.98648359,584.84000000
73,0.00002411,-1.98648699,585.04000000
74,0.00002869,-1.98649005,584.72000000
75,0.00002167,-1.98649248,584.48000000
76,0.00002106,-1.98649427,584.86000000
77,0.00002167,-1.98649659,585.32000000
78,0.00002502,-1.98649772,585.14000000
79,0.00001495,-1.98650046,584.92000000
80,0.00001678,-1.98650153,584.76000000
81,0.00000610,-1.98650350,585.50000000
82,0.00001373,-1.98650844,585.20000000
83,0.00000977,-1.98651119,585.40000000
84,0.00001282,-1.98651402,585.40000000
85,0.00001099,-1.98651836,584.86000000
86,0.00000641,-1.98652002,585.58000000
87,0.00001129,-1.98652349,585.30000000
88,0.00000427,-1.98652650,585.12000000
89,0.00001068,-1.98653007,585.86000000
90,0.00001160,-1.98653351,585.98000000
91,0.00001190,-1.98653665,585.82000000
92,0.00000458,-1.98654108,585.82000000
93,0.00000031,-1.98654434,585.20000000
94,-0.00000549,-1.98654592,586.80000000
95,-0.00000488,-1.98654888,585.86000000
96,-0.00000183,-1.98655319,586.32000000
97,0.00000458,-1.98655382,586.12000000
98,-0.00000092,-1.98655675,586.10000000
99,-0.00000610,-1.98655865,586.36000000
100,-0.00000336,-1.98656036,585.90000000
101,0.00000092,-1.98656282,586.30000000
102,0.00000397,-1.98656610,586.36000000
103,0.00000214,-1.98656837,586.46000000
104,0.00000153,-1.98657093,586.52000000
105,0.00000946,-1.98657572,586.34000000
106,0.00000641,-1.98657789,586.64000000
107,0.00000549,-1.98658168,586.82000000
108,0.00000305,-1.98658259,586.62000000
109,-0.00001038,-1.98658536,586.84000000
110,0.00001373,-1.98658559,586.66000000
111,0.00000763,-1.98658733,586.58000000
112,0.00000732,-1.98658872,586.46000000
113,0.00001556,-1.98658996,587.34000000
114,0.00000671,-1.98659182,587.14000000
115,0.00000702,-1.98659370,586.88000000
116,-0.00000031,-1.98659589,586.98000000
117,0.00000458,-1.98659868,587.32000000
118,-0.00000885,-1.98660148,587.04000000
119,0.00000488,-1.98660458,587.14000000
120,0.00000061,-1.98660852,587.54000000
121,-0.00000244,-1.98660964,587.12000000
122,-0.00000061,-1.98661182,586.90000000
123,0.00000610,-1.98661322,587.24000000
124,-0.00000031,-1.98661505,587.18000000
125,0.00000610,-1.98661653,586.58000000
126,0.00000183,-1.98661895,586.90000000
127,-0.00000153,-1.98662037,587.14000000
128,-0.00000153,-1.98662098,587.36000000
129,0.00000641,-1.98662364,587.48000000
130,0.00000824,-1.98662640,587.64000000
131,0.00001404,-1.98662849,587.24000000
132,0.00001221,-1.98663042,587.08000000
133,0.00000763,-1.98663168,587.64000000
134,0.00000732,-1.98663124,587.48000000
135,0.00000671,-1.98663355,587.48000000
136,0.00000305,-1.98663659,587.56000000
137,0.00000854,-1.98663803,587.64000000
138,0.00000641,-1.98663864,587.70000000
139,0.00001007,-1.98664277,587.46000000
140,0.00001007,-1.98664420,587.80000000
141,0.00000854,-1.98664514,587.62000000
142,0.00001404,-1.98664632,587.68000000
143,0.00001221,-1.98664835,587.74000000
144,0.00001282,-1.98664895,588.12000000
145,0.00000946,-1.98665019,588.40000000
146,0.00001343,-1.98665042,587.62000000
147,0.00001953,-1.98665217,588.12000000
148,0.00001434,-1.98665335,588.34000000
149,0.00001129,-1.98665464,587.80000000
150,0.00001862,-1.98665676,587.76000000
151,0.00002472,-1.98665807,588.24000000
152,0.00001862,-1.98666129,587.82000000
153,0.00001801,-1.98666246,588.48000000
154,0.00001221,-1.98666535,588.94000000
155,0.00001648,-1.98666555,588.46000000
156,0.00002411,-1.98667035,588.32000000
157,0.00001740,-1.98667180,588.92000000
158,0.00001556,-1.98667302,588.68000000
159,0.00001709,-1.98667572,588.52000000
