2D FM Ising; L=32; T=0.10; s_hi=1.00; s_Hi=0.32; MC steps= 2.00e+04; repeat=1000; Final_E=-1956.11; Final_M=-38;
mc_step,mag,energy,domain_len
0,0.00000000,-1.87519587,64.00000000
1,-0.00000586,-1.87794822,68.43800000
2,0.00004688,-1.88087829,70.22800000
3,0.00026563,-1.88327864,71.00400000
4,0.00014648,-1.88509455,71.48000000
5,0.00002148,-1.88660001,71.82400000
6,0.00009375,-1.88772305,72.09400000
7,0.00013672,-1.88864138,72.23200000
8,0.00005664,-1.88938063,72.36000000
9,0.00018750,-1.88995099,72.53200000
10,0.00018359,-1.89046074,72.68000000
11,0.00026758,-1.89088615,72.80800000
12,0.00026172,-1.89128037,72.89800000
13,0.00022852,-1.89163791,73.01600000
14,0.00020898,-1.89197225,73.13200000
15,0.00031055,-1.89228757,73.19000000
16,0.00044922,-1.89255102,73.23600000
17,0.00043945,-1.89277629,73.34400000
18,0.00043945,-1.89299047,73.39200000
19,0.00040039,-1.89318571,73.47000000
20,0.00036719,-1.89337734,73.62600000
21,0.00041992,-1.89359115,73.58600000
22,0.00039063,-1.89375037,73.67800000
23,0.00049609,-1.89388381,73.80600000
24,0.00039453,-1.89400951,73.84600000
25,0.00049414,-1.89416560,73.85800000
26,0.00046484,-1.89429827,73.84800000
27,0.00046484,-1.89444551,73.91200000
28,0.00043750,-1.89458455,73.98000000
29,0.00050195,-1.89471153,74.04200000
30,0.00046289,-1.89485978,74.06400000
31,0.00055078,-1.89497015,74.08400000
32,0.00050000,-1.89505819,74.15400000
33,0.00051367,-1.89520431,74.17600000
34,0.00048047,-1.89528965,74.13400000
35,0.00052344,-1.89543890,74.22800000
36,0.00059766,-1.89553519,74.25600000
37,0.00051367,-1.89564310,74.30800000
38,0.00046484,-1.89573007,74.32400000
39,0.00051367,-1.89581740,74.38000000
40,0.00047070,-1.89588513,74.43600000
41,0.00061719,-1.89597190,74.45000000
42,0.00062109,-1.89608452,74.49000000
43,0.00059570,-1.89615631,74.51200000
44,0.00059375,-1.89626363,74.48000000
45,0.00050781,-1.89634724,74.52800000
46,0.00050391,-1.89645331,74.53800000
47,0.00045508,-1.89651465,74.53600000
48,0.00045898,-1.89662275,74.51800000
49,0.00056641,-1.89667881,74.57200000
50,0.00052734,-1.89673291,74.52400000
51,0.00055273,-1.89678567,74.59600000
