2D FM Ising; Repeat_num=100; L=32; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 5.00e+03; Final_E=-2023.79; Final_M=230;
mc_step,mag,energy,domain_len
0.00,0.00000000,-1.85249206,63.36633663
1.00,0.00029007,-1.85434297,70.33663366
2.00,0.00081219,-1.85734632,73.36633663
3.00,0.00075418,-1.86013448,74.67326733
4.00,0.00013537,-1.86278942,75.78217822
5.00,-0.00079285,-1.86518044,76.97029703
6.00,-0.00098623,-1.86715798,77.44554455
7.00,-0.00098623,-1.86890727,78.63366337
8.00,-0.00123762,-1.87054297,79.14851485
9.00,-0.00203048,-1.87191216,79.22772277
10.00,-0.00218518,-1.87243588,79.72277228
11.00,-0.00251392,-1.87350022,79.58415842
12.00,-0.00259127,-1.87413890,80.19801980
13.00,-0.00241723,-1.87490279,80.45544554
14.00,-0.00322942,-1.87584259,80.29702970
15.00,-0.00259127,-1.87612586,80.57425743
16.00,-0.00172107,-1.87678437,80.49504950
17.00,-0.00166306,-1.87731336,81.18811881
18.00,-0.00137299,-1.87775616,81.54455446
19.00,-0.00098623,-1.87830337,81.66336634
20.00,-0.00164372,-1.87889197,81.72277228
21.00,-0.00119895,-1.87887075,82.07920792
22.00,-0.00220452,-1.87943858,81.92079208
23.00,-0.00160504,-1.87979618,81.98019802
24.00,-0.00183710,-1.88027329,82.00000000
25.00,-0.00116027,-1.88058910,82.00000000
26.00,-0.00187577,-1.88094732,82.25742574
27.00,-0.00197246,-1.88109177,82.41584158
28.00,-0.00164372,-1.88186766,82.11881188
29.00,-0.00220452,-1.88217906,82.33663366
30.00,-0.00187577,-1.88241948,82.31683168
31.00,-0.00226253,-1.88258871,82.27722772
32.00,-0.00292002,-1.88328331,82.69306931
33.00,-0.00313274,-1.88356298,82.83168317
34.00,-0.00338413,-1.88366314,83.12871287
35.00,-0.00326810,-1.88373453,83.64356436
36.00,-0.00423499,-1.88377154,83.70297030
37.00,-0.00481513,-1.88434357,83.30693069
38.00,-0.00537593,-1.88412420,83.78217822
39.00,-0.00547262,-1.88409842,84.15841584
40.00,-0.00502785,-1.88437422,84.41584158
41.00,-0.00582070,-1.88468537,84.05940594
42.00,-0.00601408,-1.88470471,84.13861386
43.00,-0.00584004,-1.88519859,84.03960396
44.00,-0.00572401,-1.88532374,84.39603960
45.00,-0.00711634,-1.88528608,84.71287129
46.00,-0.00603342,-1.88545745,84.55445545
47.00,-0.00653620,-1.88571826,85.12871287
48.00,-0.00603342,-1.88594175,85.06930693
49.00,-0.00607209,-1.88624547,85.18811881
50.00,-0.00651686,-1.88642378,85.08910891
51.00,-0.00657488,-1.88662969,85.04950495
52.00,-0.00678759,-1.88628175,85.94059406
53.00,-0.00690362,-1.88659988,85.90099010
54.00,-0.00659421,-1.88706362,85.76237624
55.00,-0.00640084,-1.88742804,85.76237624
56.00,-0.00620746,-1.88726855,86.00000000
57.00,-0.00572401,-1.88746989,86.23762376
58.00,-0.00522123,-1.88764327,85.66336634
59.00,-0.00599474,-1.88750615,85.94059406
