2D FM Ising; L=32; T=1.00; MC steps= 1.00e+04; repeat=200; Final_E=-1974.09; Final_M=-230
mc_step,mag,energy,domain_len
0,0.00000000,-1.87585078,64.00000000
1,-0.00121094,-1.85940819,89.28000000
2,-0.00205078,-1.85545797,100.26000000
3,-0.00144531,-1.85460327,106.95000000
4,-0.00178711,-1.85422303,111.85000000
5,-0.00220703,-1.85566463,114.18000000
6,-0.00145508,-1.85806785,116.18000000
7,-0.00209961,-1.85830150,117.67000000
8,-0.00079102,-1.85962640,119.51000000
9,-0.00111328,-1.86058974,121.23000000
10,-0.00012695,-1.86062769,123.04000000
11,-0.00134766,-1.86168361,124.42000000
12,-0.00112305,-1.86369138,124.34000000
13,-0.00091797,-1.86481280,125.22000000
14,-0.00104492,-1.86500568,126.05000000
15,0.00023437,-1.86588444,127.39000000
16,0.00101563,-1.86697221,127.54000000
17,0.00147461,-1.86797098,127.97000000
18,0.00201172,-1.86829096,128.99000000
19,0.00245117,-1.86886362,129.13000000
20,0.00265625,-1.86963887,129.79000000
21,0.00317383,-1.87091853,129.81000000
22,0.00416992,-1.87070726,130.89000000
23,0.00371094,-1.87057580,132.47000000
24,0.00433594,-1.87164922,132.35000000
25,0.00444336,-1.87209679,132.58000000
26,0.00469727,-1.87303845,132.20000000
27,0.00640625,-1.87198367,134.02000000
28,0.00750977,-1.87320840,133.70000000
29,0.00826172,-1.87366554,134.34000000
30,0.00866211,-1.87443488,135.37000000
31,0.00791992,-1.87464856,135.05000000
32,0.00902344,-1.87467481,135.36000000
33,0.00895508,-1.87429758,135.91000000
34,0.00792969,-1.87309155,136.55000000
35,0.00932617,-1.87453067,136.73000000
36,0.00888672,-1.87461010,137.31000000
37,0.00933594,-1.87703112,136.93000000
38,0.00895508,-1.87611991,137.50000000
39,0.00885742,-1.87575331,137.42000000
40,0.00883789,-1.87671788,137.70000000
41,0.01010742,-1.87820752,137.45000000
42,0.01068359,-1.87958198,137.10000000
43,0.01142578,-1.87928419,137.83000000
44,0.01028320,-1.87992546,137.26000000
45,0.01129883,-1.88063028,137.77000000
46,0.01067383,-1.88055231,137.54000000
47,0.01136719,-1.88005911,138.39000000
48,0.01114258,-1.88188882,137.63000000
49,0.01083984,-1.88144435,138.34000000
50,0.01132812,-1.88113877,139.55000000
51,0.01093750,-1.88104497,139.64000000
52,0.01189453,-1.88005778,140.22000000
53,0.01213867,-1.88050083,140.64000000
54,0.01288086,-1.87965604,141.17000000
55,0.01176758,-1.87975570,141.74000000
56,0.01101562,-1.88201496,140.70000000
57,0.01080078,-1.88203754,140.53000000
58,0.01260742,-1.88173389,140.74000000
59,0.01279297,-1.88045515,142.10000000
60,0.01332031,-1.88092534,142.20000000
61,0.01239258,-1.88220755,141.51000000
62,0.01334961,-1.88181833,142.23000000
63,0.01419922,-1.88228403,142.31000000
64,0.01481445,-1.88360798,141.40000000
65,0.01540039,-1.88383787,141.32000000
66,0.01526367,-1.88392040,142.26000000
67,0.01673828,-1.88278438,143.63000000
68,0.01787109,-1.88348410,143.06000000
69,0.01780273,-1.88337435,143.96000000
70,0.01693359,-1.88333411,143.61000000
71,0.01511719,-1.88501221,142.92000000
72,0.01520508,-1.88555267,142.63000000
