2D FM Ising; L=64; T=0.10; s_hi=1.00; s_Hi=0.32; MC steps= 1.00e+04; repeat=500; Final_E=-8237.86; Final_M=4096;
mc_step,mag,energy,domain_len
0,1.00000000,-2.00029494,0.00000000
1,0.99993164,-2.00030110,0.55200000
2,0.99991797,-2.00030167,0.63600000
3,0.99990234,-2.00030174,0.74800000
4,0.99989453,-2.00030517,0.78400000
5,0.99990039,-2.00030658,0.74400000
6,0.99989648,-2.00030511,0.77200000
7,0.99989453,-2.00030767,0.76800000
8,0.99987891,-2.00030722,0.86400000
9,0.99988574,-2.00030926,0.80800000
10,0.99989746,-2.00031072,0.70800000
11,0.99987793,-2.00030671,0.85200000
12,0.99987109,-2.00030846,0.88400000
13,0.99987012,-2.00031029,0.89600000
14,0.99987402,-2.00030991,0.87200000
15,0.99987500,-2.00031016,0.85600000
16,0.99987988,-2.00031138,0.82800000
17,0.99987305,-2.00031186,0.87600000
18,0.99987109,-2.00031037,0.87600000
19,0.99986914,-2.00031086,0.87200000
20,0.99986719,-2.00031215,0.88000000
21,0.99986719,-2.00031244,0.88000000
22,0.99985547,-2.00031136,0.96800000
23,0.99985645,-2.00031243,0.96000000
24,0.99984180,-2.00030964,1.06000000
25,0.99984180,-2.00030782,1.08000000
26,0.99984668,-2.00031035,1.03200000
27,0.99985352,-2.00031162,0.96800000
28,0.99985254,-2.00031088,0.98800000
29,0.99986523,-2.00031401,0.87600000
30,0.99986035,-2.00031353,0.92000000
31,0.99985840,-2.00031298,0.93600000
32,0.99985059,-2.00031127,1.00000000
33,0.99986035,-2.00031248,0.93200000
34,0.99986133,-2.00031125,0.92400000
35,0.99986719,-2.00031236,0.87200000
36,0.99986328,-2.00031429,0.90000000
37,0.99987109,-2.00031523,0.84400000
38,0.99985059,-2.00031242,0.99600000
39,0.99984766,-2.00031146,1.00000000
40,0.99986914,-2.00031517,0.82000000
41,0.99985645,-2.00031319,0.92000000
42,0.99985449,-2.00031090,0.94000000
43,0.99985742,-2.00031150,0.93200000
44,0.99985352,-2.00031063,0.95600000
45,0.99985059,-2.00031181,0.99600000
46,0.99985742,-2.00031209,0.95200000
47,0.99985254,-2.00031249,0.98000000
48,0.99985742,-2.00031192,0.93200000
49,0.99985937,-2.00031141,0.93200000
50,0.99986230,-2.00031232,0.90000000
51,0.99985059,-2.00031244,0.98000000
52,0.99984863,-2.00031074,0.99600000
53,0.99985645,-2.00031398,0.94000000
54,0.99985645,-2.00031197,0.94000000
55,0.99986230,-2.00031311,0.88400000
56,0.99986621,-2.00031348,0.85600000
57,0.99984863,-2.00031341,0.98400000
58,0.99986523,-2.00031540,0.87200000
59,0.99985059,-2.00031359,0.98000000
60,0.99985059,-2.00031250,0.98000000
61,0.99986230,-2.00031325,0.89200000
62,0.99984570,-2.00031208,1.01200000
63,0.99985352,-2.00031211,0.98000000
64,0.99986328,-2.00031410,0.88800000
65,0.99986816,-2.00031486,0.84800000
66,0.99985937,-2.00031252,0.92800000
67,0.99986621,-2.00031462,0.87600000
68,0.99984863,-2.00031317,1.00000000
69,0.99986230,-2.00031481,0.89200000
70,0.99986133,-2.00031384,0.90000000
71,0.99985742,-2.00031249,0.93600000
72,0.99986719,-2.00031449,0.87200000
73,0.99986328,-2.00031164,0.89200000
74,0.99986621,-2.00031173,0.86400000
75,0.99986621,-2.00031326,0.87200000
76,0.99986230,-2.00031443,0.89600000
77,0.99984961,-2.00031243,0.99600000
78,0.99985547,-2.00031451,0.96000000
79,0.99986719,-2.00031471,0.86800000
80,0.99986426,-2.00031438,0.89600000
81,0.99986133,-2.00031271,0.91600000
82,0.99985547,-2.00031117,0.95200000
83,0.99986816,-2.00031363,0.84800000
84,0.99986035,-2.00031285,0.91200000
85,0.99986230,-2.00031382,0.89200000
86,0.99986719,-2.00031329,0.87200000
87,0.99984180,-2.00031056,1.05200000
88,0.99984570,-2.00031200,1.03200000
89,0.99984668,-2.00031320,1.00800000
90,0.99986230,-2.00031386,0.90000000
91,0.99985840,-2.00031510,0.92800000
92,0.99985547,-2.00031278,0.94400000
93,0.99985547,-2.00031298,0.95200000
94,0.99985742,-2.00031408,0.92400000
95,0.99985449,-2.00031233,0.95200000
96,0.99986133,-2.00031477,0.90400000
97,0.99985352,-2.00031358,0.95200000
98,0.99986035,-2.00031351,0.90400000
99,0.99984766,-2.00031265,0.98800000
100,0.99985449,-2.00031210,0.94800000
101,0.99984863,-2.00031290,0.97200000
102,0.99983789,-2.00031125,1.06000000
103,0.99985059,-2.00031263,0.96800000
104,0.99984961,-2.00031374,0.97200000
105,0.99983887,-2.00031379,1.06000000
106,0.99984863,-2.00031255,0.97200000
107,0.99984863,-2.00031365,0.97600000
108,0.99983789,-2.00031439,1.07200000
109,0.99985156,-2.00031377,0.95600000
110,0.99985645,-2.00031392,0.92400000
111,0.99985937,-2.00031337,0.90400000
112,0.99985156,-2.00031298,0.96400000
113,0.99984570,-2.00031390,1.00000000
114,0.99985645,-2.00031520,0.91600000
115,0.99985840,-2.00031437,0.91200000
116,0.99986133,-2.00031433,0.89600000
117,0.99986035,-2.00031554,0.89200000
118,0.99985547,-2.00031386,0.92800000
119,0.99984863,-2.00031195,0.98000000
120,0.99984668,-2.00031184,1.01200000
121,0.99984961,-2.00031264,0.98400000
122,0.99985352,-2.00031498,0.94800000
123,0.99985645,-2.00031499,0.92400000
124,0.99985254,-2.00031522,0.96400000
125,0.99984961,-2.00031309,0.98800000
126,0.99985156,-2.00031365,0.96000000
127,0.99984180,-2.00031330,1.02400000
128,0.99985156,-2.00031490,0.97600000
129,0.99984473,-2.00031275,1.03200000
130,0.99983984,-2.00031311,1.04000000
131,0.99983594,-2.00031232,1.06800000
132,0.99984277,-2.00031364,1.02000000
133,0.99983301,-2.00031229,1.09200000
134,0.99983789,-2.00031297,1.05600000
135,0.99985547,-2.00031450,0.92000000
136,0.99985059,-2.00031492,0.93600000
137,0.99983984,-2.00031400,1.02800000
138,0.99984082,-2.00031492,1.02000000
139,0.99984375,-2.00031373,1.01200000
140,0.99984375,-2.00031203,1.00400000
141,0.99983887,-2.00031214,1.03600000
142,0.99984863,-2.00031248,0.96000000
143,0.99984473,-2.00031252,0.99200000
144,0.99983789,-2.00031120,1.04400000
145,0.99983398,-2.00031138,1.06000000
146,0.99984082,-2.00031346,1.00400000
147,0.99983887,-2.00031189,1.03600000
148,0.99985840,-2.00031377,0.89600000
149,0.99985156,-2.00031342,0.94800000
150,0.99985937,-2.00031354,0.88800000
151,0.99985156,-2.00031377,0.95600000
152,0.99985937,-2.00031504,0.88800000
153,0.99984668,-2.00031209,0.98800000
154,0.99984473,-2.00031283,1.00800000
155,0.99984863,-2.00031287,0.98400000
156,0.99984766,-2.00031330,0.99600000
157,0.99985352,-2.00031463,0.94400000
158,0.99985937,-2.00031644,0.90000000
159,0.99984961,-2.00031406,0.98000000
160,0.99983887,-2.00031425,1.04800000
161,0.99984473,-2.00031324,1.02000000
162,0.99985449,-2.00031365,0.95600000
163,0.99986035,-2.00031395,0.89600000
164,0.99985156,-2.00031283,0.96000000
165,0.99984180,-2.00031084,1.05600000
166,0.99984570,-2.00031198,1.01200000
167,0.99984863,-2.00031328,0.99600000
168,0.99984473,-2.00031372,1.01600000
169,0.99985254,-2.00031305,0.94400000
170,0.99985449,-2.00031104,0.93200000
171,0.99985742,-2.00031359,0.90800000
172,0.99986133,-2.00031372,0.88400000
173,0.99983887,-2.00031318,1.04400000
174,0.99984570,-2.00031532,0.99600000
175,0.99985547,-2.00031594,0.91600000
176,0.99984180,-2.00031322,1.01600000
177,0.99984180,-2.00031122,1.03200000
178,0.99984961,-2.00031280,0.98000000
179,0.99984961,-2.00031339,0.97200000
180,0.99984082,-2.00031347,1.04400000
181,0.99985156,-2.00031573,0.95600000
182,0.99984570,-2.00031447,1.00000000
183,0.99984863,-2.00031263,0.98400000
184,0.99983984,-2.00031164,1.04400000
185,0.99983789,-2.00031113,1.04400000
186,0.99983789,-2.00031353,1.03200000
187,0.99983398,-2.00031401,1.06400000
188,0.99985059,-2.00031536,0.93600000
189,0.99984570,-2.00031421,0.97600000
190,0.99984766,-2.00031401,0.97200000
191,0.99985156,-2.00031348,0.94400000
192,0.99983594,-2.00031295,1.04000000
193,0.99983398,-2.00031289,1.06800000
194,0.99983398,-2.00031197,1.08000000
195,0.99984473,-2.00031321,1.00000000
196,0.99983984,-2.00031196,1.02400000
197,0.99983594,-2.00031377,1.03200000
198,0.99983203,-2.00031323,1.05600000
199,0.99983594,-2.00031434,1.04400000
200,0.99984277,-2.00031642,0.98400000
201,0.99983789,-2.00031467,1.03200000
202,0.99983301,-2.00031443,1.04800000
203,0.99983887,-2.00031626,1.00400000
204,0.99983887,-2.00031587,1.00800000
205,0.99983789,-2.00031528,1.02400000
206,0.99983789,-2.00031479,1.02800000
207,0.99983594,-2.00031435,1.05200000
208,0.99984570,-2.00031420,0.98800000
209,0.99983691,-2.00031352,1.02800000
210,0.99982910,-2.00031201,1.09600000
211,0.99983984,-2.00031355,1.00800000
212,0.99983691,-2.00031472,1.03200000
213,0.99982422,-2.00031531,1.11200000
214,0.99983008,-2.00031639,1.05200000
215,0.99982520,-2.00031652,1.09200000
216,0.99982520,-2.00031539,1.08800000
217,0.99983691,-2.00031607,1.00800000
218,0.99983203,-2.00031676,1.04000000
219,0.99982910,-2.00031718,1.07200000
220,0.99983594,-2.00031671,1.01600000
221,0.99983594,-2.00031679,1.02400000
222,0.99983203,-2.00031756,1.04800000
223,0.99983008,-2.00031574,1.06000000
224,0.99981934,-2.00031625,1.12400000
225,0.99981641,-2.00031497,1.14800000
226,0.99981641,-2.00031498,1.14400000
227,0.99983105,-2.00031586,1.05600000
228,0.99983105,-2.00031667,1.06000000
229,0.99983398,-2.00031678,1.02000000
230,0.99983301,-2.00031433,1.03200000
231,0.99982812,-2.00031381,1.06400000
232,0.99982324,-2.00031408,1.11200000
233,0.99981934,-2.00031492,1.12800000
234,0.99982617,-2.00031578,1.06800000
235,0.99981543,-2.00031378,1.16400000
236,0.99982031,-2.00031386,1.11200000
237,0.99981934,-2.00031471,1.12000000
238,0.99982422,-2.00031538,1.08400000
239,0.99982324,-2.00031561,1.10000000
240,0.99983789,-2.00031712,1.00400000
241,0.99984082,-2.00031687,0.98000000
242,0.99984766,-2.00031667,0.92800000
243,0.99984082,-2.00031738,0.97600000
244,0.99983203,-2.00031782,1.04800000
245,0.99983105,-2.00031763,1.05200000
246,0.99983594,-2.00031780,1.02400000
247,0.99982812,-2.00031627,1.07600000
248,0.99983008,-2.00031660,1.04000000
249,0.99981934,-2.00031481,1.12400000
250,0.99981641,-2.00031482,1.14800000
251,0.99982422,-2.00031658,1.08000000
252,0.99982812,-2.00031542,1.06000000
253,0.99982422,-2.00031742,1.10400000
254,0.99981445,-2.00031641,1.16400000
255,0.99982129,-2.00031655,1.10000000
256,0.99981934,-2.00031622,1.12000000
257,0.99981738,-2.00031428,1.15200000
258,0.99981836,-2.00031575,1.13200000
259,0.99982422,-2.00031651,1.10800000
260,0.99981934,-2.00031610,1.12800000
261,0.99982227,-2.00031646,1.09200000
262,0.99982617,-2.00031741,1.08000000
263,0.99982129,-2.00031668,1.12400000
264,0.99982715,-2.00031767,1.08000000
265,0.99982812,-2.00031620,1.06800000
266,0.99983203,-2.00031529,1.04400000
267,0.99983398,-2.00031749,1.02400000
268,0.99983594,-2.00031844,1.00400000
269,0.99982324,-2.00031700,1.10400000
270,0.99983594,-2.00031943,1.00800000
271,0.99982422,-2.00031686,1.12000000
272,0.99983008,-2.00031730,1.06000000
273,0.99982812,-2.00031714,1.06000000
274,0.99983105,-2.00031678,1.05200000
275,0.99983496,-2.00031848,1.02800000
276,0.99983105,-2.00031825,1.04400000
277,0.99981348,-2.00031686,1.18000000
278,0.99983008,-2.00031608,1.07200000
279,0.99983398,-2.00031830,1.03200000
280,0.99982129,-2.00031488,1.12000000
281,0.99982422,-2.00031505,1.10400000
282,0.99982812,-2.00031816,1.04800000
283,0.99983105,-2.00031791,1.03200000
284,0.99980566,-2.00031295,1.20800000
285,0.99981836,-2.00031430,1.13600000
286,0.99983301,-2.00031818,1.02000000
287,0.99983398,-2.00031898,1.00000000
288,0.99982910,-2.00031823,1.04000000
289,0.99982422,-2.00031577,1.09600000
290,0.99982129,-2.00031568,1.10400000
291,0.99982129,-2.00031704,1.10800000
292,0.99982227,-2.00031349,1.09200000
293,0.99982031,-2.00031647,1.12400000
294,0.99982324,-2.00031589,1.09600000
295,0.99982324,-2.00031753,1.08800000
